X1SEX,X1RACE,X1HISPANIC,X1WHITE,X1BLACK,X1PAREDU,X1FAMINCOME,X1SES,X1POVERTY130,X1HHNUMBER,X2PAREDU,X2FAMINCOME,X2SES,X2POVERTY130,X2HHNUMBER,X1CONTROL,X1LOCALE,X1REGION,X1SCHOOLCLI,X2ENROLSTAT,X2ENRSTATSCH,X2NUMHS,X2EVERDROP,X2DROPSTAT,X1TXMTSCOR,X1TXMQUINT,X2TXMTSCOR,X2TXMQUINT,X3TGPATOT,HS_GPA_WGT,HS_GPA_ACAD,X3TGPASTEM,RIGOR,X3TCREDTOT,X3TCREDACAD,X3TCREDSTEM,CREDITS_APIB,X3TCREDADV,X3TCREDHON,X3TCREDMAT,X3TCREDSCI,X3TCREDENG,X3THIMATH,X3THISCI,X3T1CREDALG2,X3T1CREDCALC,X3T1CREDPHYS,X3T1CREDSTAT,X3TWHENALG1,X3HSCOMPSTAT,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,X5REMRAT,X5ENRATT
1,8,0,1,0,7,4,1.3989,0,5,7,3,1.137,0,5,2,3,2,0.68,1,1,1,0,0,63.9808,5,64.3299,5,4.0,4.0,4.0,3.5,3,28.0,23.0,7.0,0.0,0.0,0.0,3.0,4.0,4.0,8,2,1,0,0,0,10,1,3.8,36,33,0.0,3
1,5,1,1,0,-8,-8,-0.0106,-8,-8,2,3,-0.666,0,4,1,1,2,-1.48,1,1,1,0,0,53.8914,4,53.4635,4,3.0,3.5,2.5,3.0,1,28.0,22.0,10.0,7.0,7.0,10.0,3.0,5.0,4.0,7,5,0,0,1,0,4,1,3.0,31,28,0.0,11
1,8,0,1,0,3,2,-0.2746,0,4,4,3,0.1918,0,4,1,1,4,-1.88,1,1,1,0,0,48.4647,3,54.3535,4,3.0,3.5,3.0,2.5,6,23.0,19.5,7.0,0.0,1.0,4.0,3.0,4.0,3.5,7,2,1,0,0,0,10,1,2.7,21,18,0.0,3
1,8,0,1,0,2,10,0.4235,0,3,3,10,0.4389,0,3,1,2,2,0.74,1,1,1,0,0,54.1491,4,58.4985,5,3.5,3.5,3.0,3.0,3,24.0,17.0,8.5,1.0,1.0,0.0,5.0,3.0,4.0,13,1,1,1,1,0,4,1,2.5,6,6,0.0,2
1,2,0,0,0,5,13,1.4372,0,4,6,13,1.0989,0,4,2,1,4,0.39,1,1,1,0,0,57.9257,4,49.1708,3,3.0,3.5,3.0,3.0,1,29.0,21.0,10.5,2.0,2.0,4.0,5.0,4.0,4.0,13,2,1,1,1,0,10,1,2.3,28,28,0.1,1
1,8,0,1,0,5,4,0.1402,0,5,6,3,0.1416,0,4,1,2,2,-1.27,1,1,1,0,0,56.238,4,53.5581,4,3.0,3.5,3.0,3.0,3,27.5,22.5,9.0,8.0,8.0,5.0,4.0,5.0,4.5,11,5,0,0,1,1,5,1,3.2,31,31,0.0,3
1,8,0,1,0,-8,-8,-0.1901,-8,-8,4,3,-0.3243,0,4,1,1,4,-9.0,5,1,1,1,1,37.7725,1,46.0875,2,1.0,1.0,0.5,0.5,6,3.0,1.0,1.5,0.0,0.0,0.0,0.5,0.0,0.5,4,0,0,0,0,0,4,3,-6.0,-6,-6,-6.0,-6
2,2,0,0,0,7,4,1.1142,0,4,2,8,-0.3487,0,3,1,3,3,-1.11,2,2,3,0,0,66.894,5,61.3957,5,3.5,4.0,3.5,3.5,3,24.0,22.0,8.0,3.5,3.0,5.0,4.0,4.0,4.0,13,5,0,1,0,0,10,1,3.3,30,30,0.0,3
2,8,0,1,0,4,5,0.0887,0,5,5,6,0.4473,0,3,2,1,1,-8.0,1,1,1,0,0,47.5236,2,45.4814,2,1.5,1.5,1.5,2.0,1,30.0,23.0,8.5,0.0,0.0,0.0,3.0,4.0,5.0,5,1,0,0,0,0,4,1,-7.0,0,0,0.0,5
1,-9,-9,1,0,-8,-8,-8.0,-8,-8,7,13,1.8353,0,4,2,1,3,-9.0,1,1,1,0,0,-8.0,-8,36.7501,1,3.0,3.0,3.0,3.0,1,27.0,17.5,8.0,0.0,0.0,0.0,4.0,3.0,4.5,6,2,1,0,0,0,10,1,-8.0,-8,-8,-8.0,-8
